Region,Team,Seed,matchup,sold_price,ev_dollars,price_vs_ev,price_vs_ev_pct,cv,good_buy
West,Uconn,8,8/9,120,267.65279088725543,-147.65279088725543,-55.16579535666111,3.2058248149809887,TRUE
West,Arkansas,7,7/10,210,311.7576508381226,-101.75765083812257,-32.63998511810681,3.0337084457360075,TRUE
West,Mizzou,6,6/11,185,374.833258431859,-189.833258431859,-50.644721129080075,2.653818947150506,TRUE
West,Memphis,5,5/12,300,362.6172694341158,-62.617269434115826,-17.268143222145348,2.814092238901786,TRUE
West,Maryland,4,4/13,400,506.48014508189584,-106.48014508189584,-21.023557609485056,2.567898834972125,TRUE
West,Texas Tech,3,3/14,725,616.0984977676183,108.90150223238174,17.675988924981525,2.346245309569394,FALSE
West,St John's,2,2/15,820,1000.7500836028238,-180.7500836028238,-18.06146075472721,1.9861850326944617,TRUE
West,Florida,1,1/16,1700,1843.3926568974857,-143.39265689748572,-7.7787364705478534,1.492199353995353,TRUE
Midwest,Gonzaga,8,8/9,325,267.65279088725543,57.347209112744565,21.425970909042814,3.2058248149809887,FALSE
Midwest,UCLA,7,7/10,250,311.7576508381226,-61.75765083812257,-19.809506092984286,3.0337084457360075,TRUE
Midwest,Illinois,6,6/11,350,374.833258431859,-24.833258431859008,-6.625148082043375,2.653818947150506,TRUE
Midwest,Clemson,5,5/12,350,362.6172694341158,-12.617269434115826,-3.479500425836246,2.814092238901786,TRUE
Midwest,Purdue,4,4/13,325,506.48014508189584,-181.48014508189584,-35.8316405577066,2.567898834972125,TRUE
Midwest,Kentucky,3,3/14,425,616.0984977676183,-191.09849776761826,-31.017523733631524,2.346245309569394,TRUE
Midwest,Tennessee,2,2/15,850,1000.7500836028238,-150.7500836028238,-15.063709318924545,1.9861850326944617,TRUE
Midwest,Houston,1,1/16,1950,1843.3926568974857,106.60734310251428,5.783214048489227,1.492199353995353,FALSE
East,Baylor,8,8/9,200,267.65279088725543,-67.65279088725543,-25.27632559443519,3.2058248149809887,TRUE
East,St Mary's,7,7/10,475,311.7576508381226,163.24234916187743,52.36193842332986,3.0337084457360075,FALSE
East,BYU,6,6/11,550,374.833258431859,175.166741568141,46.73191015678897,2.653818947150506,FALSE
East,Oregon,5,5/12,350,362.6172694341158,-12.617269434115826,-3.479500425836246,2.814092238901786,TRUE
East,Arizona,4,4/13,475,506.48014508189584,-31.48014508189584,-6.215474661263498,2.567898834972125,TRUE
East,Wisconsin,3,3/14,550,616.0984977676183,-66.09849776761826,-10.728560125876086,2.346245309569394,TRUE
East,Alabama,2,2/15,800,1000.7500836028238,-200.7500836028238,-20.059961711928985,1.9861850326944617,TRUE
East,Duke,1,1/16,2100,1843.3926568974857,256.6073431025143,13.920384359911475,1.492199353995353,FALSE
South,Louisville,8,8/9,350,267.65279088725543,82.34720911274457,30.766430209738417,3.2058248149809887,FALSE
South,Marquette,7,7/10,400,311.7576508381226,88.24234916187743,28.304790251225143,3.0337084457360075,FALSE
South,Ole Miss,6,6/11,525,374.833258431859,150.166741568141,40.06227787693493,2.653818947150506,FALSE
South,Michigan,5,5/12,700,362.6172694341158,337.3827305658842,93.0409991483275,2.814092238901786,FALSE
South,Texas A&M,4,4/13,625,506.48014508189584,118.51985491810416,23.400691235179604,2.567898834972125,FALSE
South,Iowa St,3,3/14,625,616.0984977676183,8.901502232381745,1.4448180387771847,2.346245309569394,FALSE
South,Michigan St,2,2/15,1050,1000.7500836028238,49.24991639717621,4.921300253093208,1.9861850326944617,FALSE
South,Auburn,1,1/16,2000,1843.3926568974857,156.60734310251428,8.495604152296643,1.492199353995353,FALSE
