seed,avg_barthag_ev,avg_naive_ev,ev_diff,avg_barthag,sd_barthag
1,11.889624675191431,11.759,0.13062467519143084,0.959837234375,0.015554712174039491
2,7.310943113035341,7.119000000000001,0.1919431130353404,0.9404800625,0.015040813680998376
3,4.992817901002013,4.625,0.36781790100201306,0.920589453125,0.02544608354742493
4,4.311101467671328,3.8709999999999996,0.44010146767132863,0.913517265625,0.03210564736172788
5,3.142136309478531,2.779,0.36313630947853115,0.90283196875,0.027979548090776712
6,2.4641685824295934,2.414,0.05016858242959321,0.887107390625,0.03663666239720663
7,1.8438021115675676,1.7889999999999997,0.05480211156756787,0.87258290625,0.03982362780374722
8,1.48227514152827,1.6640000000000001,-0.18172485847173014,0.8715381249999999,0.03301737138042663
9,1.2511433847143962,1.4249999999999998,-0.1738566152856036,0.8582242,0.03692845104160481
10,1.350037345707272,1.27,0.08003734570727206,0.8529841016949152,0.03928456455705924
11,1.2513890330835518,1.389,-0.13761096691644825,0.8336956153846153,0.05098802081880589
12,0.7401135464008507,0.804,-0.06388645359914935,0.793639921875,0.06430270895532943
13,0.3762794862344603,0.335,0.04127948623446026,0.7204186,0.07490507225096331
14,0.2803324418680375,0.245,0.03533244186803752,0.6625512741935484,0.07954044716836371
15,0.12018363236444407,0.15500000000000003,-0.034816367635555956,0.5661682,0.08206172949692882
16,0.03631306090001194,0.015,0.02131306090001194,0.410196091954023,0.11483609982944366
