year,1/16,2/15,3/14,4/13,5/12,6/11,7/10,8/9
2008,59,4.5,7.5,3,3,0,4.5,0
2009,64.5,12.5,11,1.5,3,1.5,0,0
2010,46,11,1.5,1.5,11,3,1.5,1.5
2011,6,3,48,31,4.5,4.5,3,11
2012,52.5,31,4.5,9.5,0,4.5,4.5,0
2013,46,7.5,9.5,29.5,4.5,0,3,3
2014,12.5,12.5,0,12.5,0,6,46,21.5
2015,71,6,6,3,1.5,4.5,11,1.5
2016,52.5,32.5,3,1.5,6,4.5,11,0
2017,52.5,6,24.5,12.5,1.5,3,9.5,4.5
2018,49.5,7.5,24.5,3,4.5,9.5,7.5,11
2019,52.5,32.5,11,3,26,0,1.5,1.5
2021,52.5,31,4.5,3,7.5,6,1.5,1.5
2022,47.5,34,4.5,12.5,12.5,3,4.5,8
2023,64.5,17.5,6,6,4.5,4.5,0,3
2024,63,6,6,11,4.5,12.5,0,0
2025,76,4.5,6,3,3,6,3,1.5
