seed,base_ev,ev_plus_1_sigma,ev_minus_1_sigma,ev_delta_per_sigma,pct_change_per_sigma,avg_wins,wins_per_sigma
1,8.750829467163303,10.492680142930887,7.0089787913957204,1.7418506757675827,19.904977948704406,3.533333333333333,0.5806168919225275
2,4.7289346382743815,6.1804768680807,3.277392408468063,1.4515422298063188,30.694909971011903,2.5,0.5806168919225275
3,2.849864318731788,4.011098102576843,1.6886305348867328,1.161233783845055,40.74698490775214,1.7666666666666666,0.5806168919225275
4,2.30067189566041,3.34578230112096,1.2555614901998606,1.0451104054605496,45.4263125233922,1.5833333333333335,0.5806168919225275
5,1.401704798421899,2.2726301363056907,0.5307794605381078,0.8709253378837913,62.13329217851843,1.1,0.5806168919225275
6,1.1896869569554478,1.9444889164547337,0.43488499745616194,0.7548019594992859,63.44542613385583,0.7,0.5806168919225275
7,0.9725381806449556,1.6692784509519885,0.27579791033792256,0.696740270307033,71.64143106905865,0.9166666666666666,0.5806168919225275
8,0.6672071341370573,1.2478240260595848,0.08659024221452982,0.5806168919225275,87.02198496025936,0.6,0.5806168919225275
9,0.6036988054985336,1.1843156974210611,0.023081913576006086,0.5806168919225275,96.17658452099387,0.36666666666666664,0.5806168919225275
10,0.5077925450821221,0.9722860586201442,0.043299031544100086,0.46449351353802204,91.4730864083289,0.6271186440677965,0.5806168919225275
11,0.5901480783335312,1.0546415918715533,0.12565456479550918,0.46449351353802204,78.70796001736812,0.6666666666666666,0.5806168919225275
12,0.3201245911038171,0.7265564154495863,-0.08630723324195216,0.40643182434576924,126.96051338772737,0.6833333333333332,0.5806168919225275
13,0.10426706484241924,0.394575510803683,-0.18604138111884452,0.29030844596126376,278.4277531932181,0.3220338983050847,0.5806168919225275
14,0.0755796402787449,0.30782639704775594,-0.1566671164902661,0.23224675676901102,307.2874598403259,0.15000000000000002,0.5806168919225275
15,0.02296509393275825,0.1971501615095165,-0.151219973644,0.17418506757675825,758.4774879944832,0.21666666666666662,0.5806168919225275
16,0.00222208505647799,0.1183454634409835,-0.11390129332802752,0.11612337838450551,5225.874592242717,0.03333333333333332,0.5806168919225275
