seed,p_R64,p_R32,p_S16,p_E8,p_F4,p_CHAMP,ev_pct
1,0.9938235294117647,0.7494599098821063,0.4953185426419703,0.36092715231788086,0.21471627520266057,0.1251215362177929,8.750829467163303
2,0.9470588235294117,0.5921239429664837,0.3697842458782821,0.19477989871445273,0.10912492205362712,0.050133689839572185,4.7289346382743815
3,0.8529411764705882,0.503132522683785,0.26687699301173756,0.11686793922867163,0.054562461026813544,0.02278804083616917,2.8498643187317882
4,0.8147058823529412,0.42917103882476404,0.21938394735056654,0.09911050512920402,0.03897318644772396,0.018230432668935332,2.30067189566041
5,0.6470588235294117,0.3255817542127031,0.15832146007191805,0.05194130632385406,0.019486593223861978,0.009115216334467666,1.401704798421899
6,0.6352941176470588,0.31806678600086424,0.12326141529276069,0.03895597974289054,0.01558927457908958,0.007292173067574133,1.1896869569554478
7,0.6029411764705882,0.2370224060243196,0.09498609132234208,0.03570964809764966,0.01403034712118062,0.0063806514341273645,0.9725381806449556
8,0.5,0.1777668045182397,0.06784720808738721,0.022724321516686154,0.009353564747453745,0.0036460865337870616,0.6672071341370573
9,0.5,0.17765878649466088,0.06106248727864848,0.019477989871445268,0.007794637289544786,0.002734564900340294,0.6036988054985336
10,0.3970588235294118,0.16273686809456211,0.047493045661171046,0.016231658226204388,0.006235709831635827,0.0018230432668935263,0.5077925450821221
11,0.3941176470588235,0.1700358002592433,0.05880656760974286,0.028989741592001045,0.0054562461026813475,0.0018230432668935263,0.5901480783335312
12,0.3529411764705882,0.10369730263563982,0.03392360404369361,0.009738994935722629,0.003897318644772388,9.115216334467587e-4,0.3201245911038171
13,0.21470588235294116,0.044441701129559925,0.010177081213108076,0.0025970653161927,7.794637289544792e-4,0,0.10426706484241925
14,0.16176470588235295,0.04063020801185113,0.00542777664699097,0.00129853265809635,0,0,0.0755796402787449
15,0.061764705882352944,0.011110425282389973,0.0020354162426216116,6.492663290481758e-4,0,0,0.022965093932758255
16,0.008823529411764706,0.0014813900376519972,0,0,0,0,0.0022220850564779954
